topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Crab Town,,"Crab Town is a remote outpost in The Pits East, serving as the capital of the Crab Raiders. The Crab Queen rules here, and the settlement includes a bar and smithy where travelers can trade. If the Crab Queen is killed or imprisoned, the town falls to the Fishmen.",,,"Crab Town, Crab_Town","Article stubs, Locations"
Crab Trousers,,"Crab Trousers are heavy leg armor made from brown scrap metal strapped over chain leggings. They are part of the Crab Armour set and can only be crafted after purchasing the blueprint from the Crab Raiders. The design reflects the scavenged, improvised style typical of Crab Raider equipment.",,,"Crab Trousers, Crab_Trousers","Armour, Heavy Armour, Legwear"
Crab Village,,"Crab Village refers to two small outposts controlled by the Crab Raiders, one in Greenbeach and another in Stobe's Gamble near an old ruined platform. Visitors can purchase crabs here and use the free beds, though locals often occupy them. If the Crab Queen is removed, Reavers may take control of these settlements.",,,"Crab Village, Crab_Village","Article stubs, Locations"
Crabs,,"Crabs are creatures that inhabit certain coastal and ruined areas of the world. They nest in places like Greenbeach and the Howler Maze, and sometimes infest abandoned settlements. These animals are known to be temperamental and require careful handling, needing regular salt baths and nightly attention to stay calm.",,,Crabs,Factions
Crimper,,"The Crimper is a massive maintenance skeleton resembling a Gorillo that serves as the Southern Hive King in the Royal Valley. It is a unique creature, being the only one of its kind in the world. When damaged, it bleeds dark oil instead of blood.",,,Crimper,"Animals, Characters"
Cross,,"Cross was a legendary smith from ancient times, the only known maker of Meitou-quality weapons. Very little is known about Cross, and only one or two examples of each weapon type they crafted have been discovered. These weapons are considered the finest ever made.",,,Cross,"Lore, Manufacturers"
Cult Village,,"The Cult Village is a settlement in the Stormgap Coast where The Preacher and their followers live. Farmers work the fields outside the walls, and the cultists believe blood in the soil brings good harvests. Prisoners who fall unconscious are locked in poles, and if all poles are full, the cultists will beat captives to death. If certain leaders fall and slavers rise, this village can be taken over by Slave Traders.",,,"Cult Village, Cult_Village","Locations, Preacher Cult, Villages"
Cultural Groupings And Evolution Series,,"This book discusses theories about how the different races of today evolved from common ancestors, possibly changed by ancient industrial pollution or environmental pressures. It speculates that the ancient master race might have been alien settlers with advanced technology, and questions whether skeletons or organics came first. The author believes modern people descended from those ancient times when both skeletons and organics coexisted.",,,"Cultural Groupings And Evolution Series, Cultural_Groupings_And_Evolution_Series","Books, Lore"
Darkfinger,,"Darkfinger is a peninsula west of Sinkuun, inhabited primarily by Cannibals who live in scattered villages across the region. The Cannibal Leader known as 'Unknown' resides at First Village on the northern tip. Travelers can find bounties and supplies here, though the area is dangerous due to the hostile cannibal population.",,,Darkfinger,Zones
Dead Cat,,"Dead Cat is a neutral faction that controls several towns including Catan, Clownsteady, Telbooze, Bark, and Heft. Their settlements are protected by hired mercenaries and police forces who can accept bounties. They begin on poor terms with the Holy Nation.",,,"Dead Cat, Dead_Cat",Removed Content
Dead Workshop,,"Dead Workshop is an ancient ruin located in The Pits East, a large hangar-like structure from the old world. It contains old engineering knowledge and gear left behind by whoever built it long ago. A deep square pool sits in front of the workshop, and the site is marked on old engineer maps.",,,"Dead Workshop, Dead_Workshop",Locations
Deadcat,,"Deadcat is a small faction of refugees who once lived in the city of Deadcat before being driven out by Cannibal tribes. They now survive as fishermen in scattered villages along the Northern Coast and Dreg, and while generally decent people, hard times have made them wary and distrustful of outsiders. Some believe they may be descendants of rebels who broke away from the Second Empire long ago.",,,Deadcat,Factions
Deadhive Prince,,"Deadhive Princes are Hive princes who have been taken over by Fogmen parasites, controlled from the inside with no hope of recovery. They are physically frailer than normal Hive princes and suffer from increased hunger. These unfortunate creatures are found among the Fogmen in the fog-covered regions.",,,"Deadhive Prince, Deadhive_Prince","Fogmen, Hivers, Races"
Deadhive Soldier,,"Deadhive Soldiers are Hivers controlled from the inside by Fogmen parasites, leaving them beyond saving. They are physically weaker in the head than normal Hive soldiers and bleed more slowly. These creatures serve the Fogmen and cannot be reasoned with or recruited.",,,"Deadhive Soldier, Deadhive_Soldier","Fogmen, Hivers, Races"
Deadhive Worker,,"Deadhive Workers are Hivers who have been taken over by Fogmen from the inside, leaving them beyond saving. They are weaker and slower than normal Hive Workers, with altered physical capabilities due to their corrupted state. These unfortunate creatures serve the Fogmen and cannot be recruited or played as characters.",,,"Deadhive Worker, Deadhive_Worker","Fogmen, Hivers, Races"
Deadlands,,"The Deadlands is a heavily polluted wasteland plagued by constant acid rain, acidic ground, and dark skies. It is home to Black Desert City, where Skeletons live, and the nearby Scraphouse. The hostile environment and isolation make it a refuge for those hiding from the Holy Nation, though the terrain and roaming iron spiders make survival difficult for the unprepared.",,,Deadlands,Zones
Desert Sabre,,"The Desert Sabre is an unusual blade design said to originate from the desert regions. It is particularly effective at killing spiders, making it a favored weapon among bounty hunters who pursue the Bugmaster. The finest example of this weapon is carried by Eyegore, a martial captain of the United Cities.",,,"Desert Sabre, Desert_Sabre","Sabre, Weapons"
Dimak,,"Dimak is a Shek woman and one of the leaders of the Black Dragon Ninjas. She can be found at the Tower of Ninjas and is wanted by the Holy Nation for murder, robbery, assault, arson, and kidnapping. She is the only Shek among the Black Dragon Ninjas and wields a legendary ninja blade.",,,Dimak,"Bounty, Characters, Unique"
Distant Hive Village,,"Distant Hive Village is a minor settlement controlled by the Western Hive, located in Sinkuun and the Great Desert regions. There are two such villages in Sinkuun, named for their distance from the main Western Hive territories. These outposts represent the far reach of Western Hive influence in more remote areas.",,,"Distant Hive Village, Distant_Hive_Village","Article stubs, Locations"
Doctor Chung,,"Doctor Chung is a surgeon who harvests organs for the Twinblades gang, though he resents working for them. He can be found drinking in bars in Mud Town or Shark, complaining about the Twinblades pressuring him for more organs and smashing up his surgery. His past activities have made him enemies in many cities, leaving him stuck working for the gang despite his frustrations.",,,"Doctor Chung, Doctor_Chung","Characters, Playable, Unique"
Bonedog,,"Bonedogs are dark-furred canine creatures with bony ridges and faces that roam the wastes in territorial packs. Wild bonedogs are drawn to dead bodies and will devour them, sometimes playfully carrying severed limbs around. Some have been domesticated and can be purchased from nomad traders or farm shops, serving as loyal companions and fast-attacking fighters despite not being the sturdiest. They will eat nearly anything and are favored by groups like Rebel Farmers as guardians.",,,Bonedog,"Animals, Characters, Playable"
Domesticated Bull,,"Domesticated Bulls are tamed animals used by the Holy Nation to carry heavy loads over long distances. They have their horns cut short when young, making them less dangerous than wild bulls but better suited as pack animals. They can be purchased from Holy Farm Leaders at any Holy Farm and are strong enough to defend themselves if attacked.",,,"Domesticated Bull, Domesticated_Bull","Animals, Characters, Playable"
